id,application_id,evaluator_id,documents_verified,adherence_metier,adherence_talent,adherence_paradigme,metier_notes,talent_notes,paradigme_notes,overall_score,completed,created_at,updated_at,cv_score,cv_comments,lettre_motivation_score,lettre_motivation_comments,diplomes_certificats_score,diplomes_certificats_comments,metier_score,metier_comments,talent_score,talent_comments,paradigme_score,paradigme_comments,interview_date,interview_metier_score,interview_metier_comments,interview_talent_score,interview_talent_comments,interview_paradigme_score,interview_paradigme_comments,gap_competence_score,gap_competence_comments,general_summary,documentary_score,mtp_score,interview_score,total_score,status,documentary_score_exact,mtp_score_exact,interview_score_exact,total_score_exact,overall_score_exact
73551578-071b-4746-833f-8c3659f51012,73318a9e-5113-4fa5-9d3c-5046ae9229e7,6b35be8c-fe50-4618-8187-2de1d1c145fe,f,f,f,f,,,,58,f,2025-09-02 13:29:03.471344+00,2025-09-02 16:22:33.027+00,4,,3,,5,,2,,3,,1,,,1,,4,,4,,3,,,80.00,40.00,60.00,58.00,in_progress,,,,,
78cdf97a-e07c-4850-9b9f-515ae567e524,3bced48c-41bf-407b-967c-bdcc79cb7d3b,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,0,f,2025-09-02 17:22:57.693908+00,2025-09-02 17:29:27.941+00,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,,0.00,0.00,0.00,0.00,pending,,,,,
008be948-9938-4b40-95f8-40b83e811387,6cf57a85-de63-40b0-ae0f-fd8e27daa7bb,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,17,f,2025-09-02 17:26:26.900766+00,2025-09-02 17:31:37.396+00,3,,2,,3,,3,,3,,3,,,0,,0,,0,,0,,Retenu.,53.00,60.00,0.00,17.00,in_progress,,,,,
c04ab2e3-3046-4562-967b-28d4ad775a74,3198cc1c-b7fe-4cf6-a64d-00f30de35660,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,0,f,2025-09-02 17:28:38.407139+00,2025-09-02 17:29:27.973+00,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,,0.00,0.00,0.00,0.00,pending,,,,,
bfdf7332-68c6-45e3-9b7e-f19f51f41234,a686ab42-79b6-4761-9dbd-2b5dc2644285,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,13,f,2025-09-02 16:37:23.882138+00,2025-09-02 17:29:27.936+00,1,,1,,5,,2,,2,,2,,,0,,0,,0,,0,,Non retenue pour l'entretien,47.00,40.00,0.00,13.00,in_progress,,,,,
4b817873-f165-4ac0-afbb-b5747ee746e8,8f0c56c6-9366-4599-87b2-408849994878,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,11,f,2025-09-02 16:48:32.652084+00,2025-09-02 17:29:27.974+00,2,Parcours professionnel en rapport avec le poste non pertinent.,1,,1,,2,,2,,2,,,0,,0,,0,,0,,Non retenu.,27.00,40.00,0.00,11.00,in_progress,,,,,
5c773092-9f89-4517-b5c7-bea3dc5cc272,06bd623b-475c-409a-bf42-5d209acb3b92,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,19,f,2025-09-02 17:18:41.365553+00,2025-09-02 17:31:37.374+00,4,,2,,5,,3,,3,,3,,,0,,0,,0,,0,,Retenue.,73.00,60.00,0.00,19.00,in_progress,,,,,
09bfc8f5-f58a-4b84-8506-8870c4998115,b95c15a3-643c-452f-b231-ac0b292d4c64,6b35be8c-fe50-4618-8187-2de1d1c145fe,f,f,f,f,,,,0,f,2025-09-02 15:00:49.512703+00,2025-09-02 15:58:34.335+00,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,,0.00,0.00,0.00,0.00,pending,,,,,
df7455eb-c568-4649-9d30-ba07ebc77958,009e02df-70b4-4ddf-9210-cb5bf2caaf48,6b35be8c-fe50-4618-8187-2de1d1c145fe,f,f,f,f,,,,0,f,2025-09-02 15:55:12.239941+00,2025-09-02 16:25:15.93+00,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,,0.00,0.00,0.00,0.00,pending,,,,,
659ee289-b66b-4127-829c-9c9e1dc3c388,12f206bf-2d02-415d-98b0-b06ef3373b5b,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,11,f,2025-09-02 16:54:18.203494+00,2025-09-02 17:29:27.966+00,3,,1,,1,Inad̩quation dipl̫me-profil. Pas de lien entre le poste, le dipl̫me, et l'exp̩rience.,2,,2,,2,,,0,,0,,0,,0,,Pas retenue.,33.00,40.00,0.00,11.00,in_progress,,,,,
